formula_norm,source,n,med,lo,hi,sd,range
Ba2HfTiO6,OQMD,10,2.3685,2.314,2.538,0.08157178161322434,0.22399999999999975
Ba2HfUO6,MP,1,0.187899999999999,0.187899999999999,0.187899999999999,,0.0
Ba2HfVO6,OQMD,7,1.098,0.853,1.352,0.1635287946102052,0.4990000000000001
Ba2HfZrO6,OQMD,10,3.455,3.44,3.655,0.09730416229535091,0.21499999999999986
Ba2HgMoO6,OQMD,10,1.9289999999999998,1.775,2.249,0.1548847600278636,0.4740000000000002
Ba2HgTeO6,OQMD,9,0.733,0.246,2.062,0.5314935193500585,1.8159999999999998
Ba2HgWO6,OQMD,10,2.4735,2.234,2.724,0.1898897048288822,0.4900000000000002
Ba2HoCrO6,OQMD,1,0.2520000000000002,0.2520000000000002,0.2520000000000002,,0.0
Ba2HoNbO6,AFLOW,1,3.0915,3.0915,3.0915,,0.0
Ba2HoNbO6,JARVIS,1,2.921,2.921,2.921,,0.0
Ba2HoNbO6,MP,1,2.8516,2.8516,2.8516,,0.0
Ba2HoNbO6,OQMD,8,3.2145,3.055,3.2329999999999997,0.05942522311996066,0.1779999999999995
Ba2HoRuO6,AFLOW,3,1.0995,1.0981,1.0998,0.0009073771725877487,0.0017000000000000348
Ba2HoRuO6,JARVIS,1,0.086,0.086,0.086,,0.0
Ba2HoRuO6,MP,1,0.07600000000000001,0.07600000000000001,0.07600000000000001,,0.0
Ba2HoRuO6,OQMD,6,0.26900000000000013,0.26599999999999957,0.2709999999999999,0.002167948338867952,0.0050000000000003375
Ba2HoSbO6,AFLOW,2,3.4369,3.4306,3.4432,0.008909545442950459,0.012599999999999945
Ba2HoSbO6,JARVIS,1,3.671,3.671,3.671,,0.0
Ba2HoSbO6,MP,1,3.4155,3.4155,3.4155,,0.0
Ba2HoSbO6,OQMD,6,3.838,3.7729999999999997,3.97,0.06480252052711132,0.1970000000000005
Ba2HoTaO6,AFLOW,2,3.5332999999999997,3.5027,3.5639,0.0432749350086165,0.06119999999999992
Ba2HoTaO6,JARVIS,2,3.4955,3.46,3.531,0.05020458146424484,0.07100000000000017
Ba2HoTaO6,MP,2,3.413099999999999,3.378199999999999,3.447999999999999,0.04935605332682092,0.06979999999999986
Ba2HoTaO6,OQMD,7,3.625,3.5759999999999996,3.754,0.05496319114600601,0.17800000000000038
Ba2HoVO6,OQMD,5,1.8009999999999997,1.7670000000000003,1.803,0.015355780670483498,0.03599999999999959
Ba2InAsO6,OQMD,8,0.2475,0.246,1.955,0.6545019917027427,1.709
Ba2InBiO6,MP,1,0.20800000000000002,0.20800000000000002,0.20800000000000002,,0.0
Ba2InBiO6,OQMD,8,0.5569999999999999,0.248,1.346,0.3857713747434205,1.098
Ba2InBrO6,OQMD,4,0.6205000000000002,0.49600000000000044,0.6260000000000003,0.06325279967453341,0.1299999999999999
Ba2InIrO6,AFLOW,1,0.4918,0.4918,0.4918,,0.0
