formula,in_296,pred,abs_lo,abs_hi,cqr_lo,cqr_hi,contain_abs,contain_cqr
Sr2CrScO6,False,0.8489515834630611,-0.033420465137658506,1.7313236320637806,0.4941385869773508,2.5068139440769976,0.0,0.0
Sr2CrSnO6,True,0.9827508091755432,0.10037876057482364,1.8651228577762629,0.6116340781768117,2.6855172849645337,0.0,0.0
Sr2CrTaO6,True,0.9417428150598586,0.05937076645913897,1.8241148636605782,0.17438687679178588,1.9136207381838917,0.0,0.0
Sr2CrTeO6,True,1.0006424116530976,0.11827036305237804,1.8830144602538172,0.27909286647987075,2.3293079810189585,0.0,0.0
Sr2CrTiO6,False,0.561573578233117,-0.32079847036760256,1.4439456268338366,0.22662339156741967,1.6877587278670325,0.0,0.0
Sr2CrVO6,False,1.0894244843048995,0.20705243570417986,1.971796532905619,0.11147136911388422,1.6522157759632639,0.0,0.0
Sr2CrWO6,True,0.637801369422328,-0.2445706791783916,1.5201734180230475,0.14804400372021964,1.4206785081816906,0.0,0.0
Sr2CrYO6,True,0.8405301961905328,-0.041841852410186786,1.7229022447912525,0.43549126194836907,2.589544202958904,0.0,0.0
Sr2CrZnO6,True,1.6021646086517236,0.719792560051004,2.484536657252443,0.42596837603509397,2.8173262528914353,0.4840698869475848,0.0
Sr2CrZrO6,True,1.0721105659281325,0.18973851732741287,1.954482614528852,0.2566566484224042,2.2004460311839154,0.0,0.0
Sr2CuFeO6,False,0.3875968512660164,-0.4947751973347032,1.269968899866736,0.1134612516049126,1.1429920960650368,0.0,0.0
Sr2CuGaO6,False,1.4798285873096415,0.5974565387089219,2.3622006359103613,0.5093045444283715,2.3869058467063526,0.590955806783145,0.0
Sr2CuGeO6,False,0.7177512078493328,-0.16462084075138683,1.6001232564500523,0.10450765926562139,2.1886587513311864,0.0,0.0
Sr2CuHfO6,False,0.9502071846536343,0.06783513605291469,1.832579233254354,0.6314584139385004,2.38370001771853,0.0,0.0
Sr2CuInO6,False,1.3872828314639356,0.504910782863216,2.269654880064655,0.4886473316893005,2.1973126459230827,0.4686536485097636,0.0
Sr2CuIrO6,True,0.2045803778996573,-0.6777916707010623,1.086952426500377,0.025687240745902895,1.4936481240355675,0.0,0.0
Sr2CuMnO6,False,0.7908232351355955,-0.09154881346512411,1.673195283736315,0.1690355934784855,2.0416654574764985,0.0,0.0
Sr2CuMoO6,True,0.4368569935372133,-0.4455150550635063,1.319229042137933,0.06440948606266528,0.9252719303649888,0.0,0.0
Sr2CuNbO6,True,0.270155799421092,-0.6122162491796276,1.1525278480218115,0.0684646843471623,1.4890115241903983,0.0,0.0
Sr2CuNiO6,False,0.843317553861977,-0.03905449473874256,1.7256896024626966,0.07720409701401754,1.3211630091883153,0.0,0.0
Sr2CuPdO6,False,0.19107622500637184,-0.6912958235943478,1.0734482736070914,0.07154463102806452,1.5537797304680825,0.0,0.0
Sr2CuReO6,True,0.8909264928007631,0.008554444200043476,1.7732985414014828,0.22119661445840977,1.8538799148987715,0.0,0.0
Sr2CuRhO6,False,0.18305775728554224,-0.6993142913151773,1.065429805886262,0.008531775923677098,1.33878211194143,0.0,0.0
Sr2CuRuO6,True,0.21194736149875612,-0.6704246871019635,1.0943194100994758,0.029802572550997664,1.610763095522144,0.0,0.0
Sr2CuSbO6,True,0.5421741196589874,-0.3401979289417322,1.424546168259707,0.2222031828835203,1.9843087564512873,0.0,0.0
Sr2CuScO6,False,1.088863105027732,0.20649105642701238,1.9712351536284516,0.4500192528473739,2.32211557751151,0.0,0.0
Sr2CuSnO6,False,0.865719111446683,-0.016652937154036596,1.7480911600474025,0.2968518470190745,1.9572449379227748,0.0,0.0
Sr2CuTaO6,True,0.5186291276832328,-0.36374292091748683,1.4010011762839523,0.14796489906761207,1.8282469367490966,0.0,0.0
Sr2CuTeO6,True,0.734343228330601,-0.14802882027011866,1.6167152769313207,0.19111607546175874,2.2268955662174914,0.0,0.0
Sr2CuTiO6,False,0.9245418566090331,0.04216980800831349,1.8069139052097527,0.44269573045439836,1.8538519743006536,0.0,0.0
Sr2CuVO6,False,0.308977316384782,-0.5733947322159376,1.1913493649855016,0.07298254693092598,1.7054327762208592,0.0,0.0
