formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP,e_class,mondrian_lo,mondrian_hi,mondrian_tier,reclassified
Sr2ScIrO6,Sr2ScIrO6,A2,0.8440131466817101,-0.0021232446543973,0.0,1.7137167029401006,1.715839947594498,0.6559868533182899,False,0.8849139459561449,1.0925884008773157,open,0.1044032251929752,1.583623068170445,A2,False
Sr2IrTeO6,Sr2TeIrO6,A2,0.8365382041123842,-0.0129187679552397,0.0,1.6848148319474352,1.697733599902675,0.6634617958876158,False,0.8681868532812963,0.9817294868037976,open,0.0969282826236493,1.5761481256011192,A2,False
Sr2WReO6,Sr2ReWO6,A2,0.8301024021846006,-0.0159079901377612,0.0,1.685121643886847,1.7010296340246085,0.6698975978153994,False,0.9747250723868836,1.402095047125574,open,0.0904924806958658,1.5697123236733357,A2,False
Sr2RuReO6,Sr2ReRuO6,A2,0.8268944606610198,-0.0235220106958709,0.0,1.6748117436609862,1.698333754356857,0.6731055393389802,False,0.8356185735167185,0.9166689251544626,open,0.0872845391722849,1.5665043821497546,A2,False
Sr2NbSnO6,Sr2NbSnO6,A2,2.1776575221733587,1.330072910676663,1.330072910676663,3.0517823238570747,1.7217094131804118,0.6776575221733587,False,2.1820133138110225,2.219733625211128,open,1.438047600684624,2.9172674436620936,A2,True
Sr2HfWO6,Sr2HfWO6,A2,0.7995676074911052,-0.0605228057087769,0.0,1.6676050651030505,1.7281278708118275,0.7004323925088948,False,0.9194692804990652,1.2585753338394452,open,0.0599576860023703,1.53917752897984,A2,False
Sr2RhReO6,Sr2ReRhO6,A2,0.7779918589414127,-0.061126298486239,0.0,1.641540796098934,1.702667094585173,0.7220081410585873,False,0.8222869539689309,1.0883278862529773,open,0.0383819374526778,1.5176017804301476,A2,False
Sr2MoHfO6,Sr2HfMoO6,A2,0.7712636582707548,-0.0875052527816686,0.0,1.617708974656685,1.7052142274383535,0.7287363417292452,False,0.8840819435968872,1.1535711726316165,open,0.0316537367820199,1.5108735797594897,A2,False
Sr2WInO6,Sr2InWO6,A2,2.231328535499163,1.3851585888138098,1.3851585888138098,3.074935200976112,1.6897766121623023,0.7313285354991632,False,2.240325341417688,2.267853814514156,open,1.4917186140104284,2.970938456987898,A2,False
Sr2WGaO6,Sr2GaWO6,A2,2.2375158111747044,1.3879938385306831,1.3879938385306831,3.1022049392870645,1.7142111007563814,0.7375158111747044,False,2.2459481725328625,2.268793081721126,open,1.4979058896859696,2.9771257326634397,A2,False
Sr2RuIrO6,Sr2IrRuO6,A2,0.742849422921539,-0.1004901386098364,0.0,1.5848533382713126,1.685343476881149,0.757150577078461,False,0.7786041786074231,0.95943121278381,open,0.0032395014328041,1.4824593444102738,A2,False
Sr2WIrO6,Sr2IrWO6,A2,0.7407052941019985,-0.1037422560393104,0.0,1.5854293256243348,1.6891715816636452,0.7592947058980015,False,0.8764051643423598,1.2351349626859778,open,0.0010953726132636,1.480315215590733,A2,False
Sr2IrSnO6,Sr2SnIrO6,A2,0.7367036536585224,-0.1074823095361613,0.0,1.5927703594200224,1.7002526689561837,0.7632963463414776,False,0.7655407278935241,0.8997106136864887,open,0.0,1.4763135751472571,A2,False
Sr2ScWO6,Sr2ScWO6,A2,0.7335558523955428,-0.1122566719636222,0.0,1.5807339048891853,1.6929905768528075,0.7664441476044572,False,0.8507857947137508,1.1108447102513384,open,0.0,1.4731657738842776,A2,False
Sr2ReBiO6,Sr2ReBiO6,A2,0.7320178383988648,-0.1070970309479736,0.0,1.6101090282541732,1.7172060592021468,0.7679821616011352,False,0.7288644825296122,0.7715571973070764,open,0.0,1.4716277598875998,A2,False
