band_gap,src
1.4720000000000004,OQMD
4.454,JARVIS
1.5119999999999996,OQMD
1.6879999999999997,OQMD
0.753599999999999,MP
5.319,JARVIS
0.258,OQMD
3.157,OQMD
2.757,OQMD
3.138,OQMD
1.374,OQMD
3.293,OQMD
0.8320000000000003,OQMD
2.343,OQMD
3.1470000000000002,OQMD
0.8990000000000005,OQMD
2.121,OQMD
3.4021,MP
3.2100000000000004,OQMD
1.8480000000000003,OQMD
2.9200000000000004,OQMD
4.534,OQMD
2.234,OQMD
2.8449999999999998,OQMD
1.1980000000000004,OQMD
0.9550000000000001,OQMD
1.153,OQMD
2.1599999999999997,OQMD
3.1270000000000007,OQMD
0.9620000000000002,OQMD
0.34499999999999975,OQMD
1.583099999999999,MP
1.1230000000000002,OQMD
1.488,OQMD
0.36600000000000055,OQMD
3.1770000000000005,OQMD
1.3790000000000004,OQMD
2.2709999999999995,OQMD
1.9880000000000004,OQMD
2.43,OQMD
0.8659999999999997,OQMD
2.078,OQMD
0.593,OQMD
3.284,OQMD
0.9229999999999996,OQMD
